_id,application_date,completed_date,description,issued_date,permit_num,permit_type,postal,revision_num,status,street_direction,street_name,street_num,street_type,structure_type,green_tech,green_roof_area,green_roof_variation_area,heater_work,address,location,latitude,longitude
7512,2010-11-17,2011-07-12,Permit for installation of 1 solar collector (certified model number 09-148271-01-CE) on roof of existing dwelling for solar hot water heating system. Refer to related plumbing application for connection to potable water heating system.,2010-11-18,10 298507,Small Residential Projects,M4C,0,Closed, ,OAKCREST,208,AVE,SFD - Semi-Detached,Solar Water Heater,,,Solar Domestic Hot Water (Res),"208 OAKCREST AVE   Toronto, Canada","208, Oakcrest Avenue, Danforth East, Beaches—East York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4C 1L1, Canada",43.6854626,-79.3046827
7513,2010-11-17,2011-07-12,Permit for installation of 1 solar collector (certified model number 09-148271-01-CE) on roof of existing dwelling for solar hot water heating system. Refer to related plumbing application for connection to potable water heating system.,2010-11-18,10 298508,Small Residential Projects,M4L,0,Closed, ,GAINSBOROUGH,288 A,RD,SFD - Semi-Detached,Solar Water Heater,,,Solar Domestic Hot Water (Res),"288 A GAINSBOROUGH RD   Toronto, Canada","288, Gainsborough Road, Danforth Village, Beaches—East York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4L 3C6, Canada",43.67864613,-79.31871445
7514,2010-11-17,2011-07-13,Permit for installation of 1 solar collector (certified model number 09-148271-01-CE) on roof of existing dwelling for solar hot water heating system. Refer to related plumbing application for connection to potable water heating system.,2010-11-18,10 298519,Small Residential Projects,M4L,0,Closed, ,WAVERLEY,292,RD,SFD - Semi-Detached,Solar Water Heater,,,Solar Domestic Hot Water (Res),"292 WAVERLEY RD   Toronto, Canada","292, Waverley Road, The Beaches, Beaches—East York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4L 1V3, Canada",43.67530169,-79.30328177
7515,2010-12-01,2011-07-13,Permit for installation of 1 solar collector (certified model number 09-148271-01-CE) on roof of existing dwelling for solar hot water heating system. Refer to related plumbing application for connection to potable water heating system.,2010-12-06,10 306699,Small Residential Projects,M4J,0,Closed, ,QUEENSDALE,116,AVE,SFD - Detached,Solar Water Heater,,,Solar Domestic Hot Water (Res),"116 QUEENSDALE AVE   Toronto, Canada","116, Queensdale Avenue, Danforth Village, Beaches—East York, East York, Toronto, Golden Horseshoe, Ontario, M4J 1Y3, Canada",43.68769003,-79.32768811
7516,2010-12-01,2011-07-13,Permit for installation of 1 solar collector (certified model number 09-148271-01-CE) on roof of existing dwelling for solar hot water heating system. Refer to related plumbing application for connection to potable water heating system.,2010-12-07,10 306730,Small Residential Projects,M4C,0,Closed, ,MILVERTON,560,BLVD,SFD - Semi-Detached,Solar Water Heater,,,Solar Domestic Hot Water (Res),"560 MILVERTON BLVD   Toronto, Canada","560, Milverton Boulevard, Toronto—Danforth, Beaches—East York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4C 3C9, Canada",43.6878597,-79.31995838
7517,2010-12-01,2011-07-13,Permit for installation of 1 solar collector (certified model number 09-148271-01-CE) on roof of existing dwelling for solar hot water heating system. Refer to related plumbing application for connection to potable water heating system.,2010-12-06,10 306738,Small Residential Projects,M4C,0,Closed, ,WOODMOUNT,25,AVE,SFD - Semi-Detached,Solar Water Heater,,,Solar Domestic Hot Water (Res),"25 WOODMOUNT AVE   Toronto, Canada","25, Woodmount Avenue, Woodbine Heights, Beaches—East York, East York, Toronto, Golden Horseshoe, Ontario, M4C 3X4, Canada",43.68622904,-79.31557948
7518,2010-12-02,2011-07-13,Permit for installation of 1 solar collector (certified model number 09-148271-01-CE) on roof of existing dwelling for solar hot water heating system. Refer to related plumbing application for connection to potable water heating system.,2010-12-07,10 307636,Small Residential Projects,M4C,0,Closed, ,SPRINGDALE,222,BLVD,SFD - Semi-Detached,Solar Water Heater,,,Solar Domestic Hot Water (Res),"222 SPRINGDALE BLVD   Toronto, Canada","222, Springdale Boulevard, Danforth Village, Beaches—East York, East York, Toronto, Golden Horseshoe, Ontario, M4C 3C9, Canada",43.68809441,-79.32218189
7519,2010-12-02,,Permit for installation of 1 solar collector (certified model number 09-148271-01-CE) on roof of existing dwelling for solar hot water heating system. Refer to related plumbing application for connection to potable water heating system.,2010-12-07,10 307651,Small Residential Projects,M4C,0,Inspection, ,SAMMON,703,AVE,SFD - Detached,Solar Water Heater,,,Solar Domestic Hot Water (Res),"703 SAMMON AVE   Toronto, Canada","703, Sammon Avenue, Danforth Village, Beaches—East York, East York, Toronto, Golden Horseshoe, Ontario, M4J 1Y3, Canada",43.68942411,-79.32219373
7520,2010-12-02,2011-07-13,Permit for installation of 1 solar collector (certified model number 09-148271-01-CE) on roof of existing dwelling for solar hot water heating system. Refer to related plumbing application for connection to potable water heating system.,2010-12-07,10 307731,Small Residential Projects,M4C,0,Closed, ,WOODMOUNT,125,AVE,SFD - Semi-Detached,Solar Water Heater,,,Solar Domestic Hot Water (Res),"125 WOODMOUNT AVE   Toronto, Canada","125, Woodmount Avenue, Woodbine Heights, Beaches—East York, East York, Toronto, Golden Horseshoe, Ontario, M4C 3X4, Canada",43.6894215,-79.31690754
7521,2010-12-20,,Permit for installation of 2 solar collectors (certified model number 09-148268-02-CE) on roof of existing dwelling for solar hot water heating system. Refer to related plumbing application for connection to potable water heating system.,2010-12-20,10 317395,Small Residential Projects,M4K,0,Inspection, ,LANGLEY,7,AVE,SFD - Detached,Solar Water Heater,,,Solar Domestic Hot Water (Res),"7 LANGLEY AVE   Toronto, Canada","7, Langley Avenue, Riverdale, East York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4K 1C2, Canada",43.66776836,-79.35288193
7522,2011-01-10,2011-05-03,Permit for installation of 1 solar collector (certified model number 09-148271-01-CE) on roof of existing dwelling for solar hot water heating system. Refer to related plumbing application for connection to potable water heating system.,2011-01-19,11 103643,Small Residential Projects,M4A,0,Closed, ,WIGMORE,45,DR,SFD - Detached,Solar Water Heater,,,Solar Domestic Hot Water (Res),"45 WIGMORE DR   Toronto, Canada","45, Wigmore Drive, Victoria Village, Don Valley East, North York, Toronto, Golden Horseshoe, Ontario, M4A 2B1, Canada",43.73280948,-79.30800834
7523,2011-02-15,2011-02-25,Permit for installation of 2 solar collectors on south face of roof of the existing single family detached dwelling (Certified model 09-148269 CE) for solar hot water heating system. Refer to related plumbing application for connection to potable water heating system. ,2011-02-15,11 126702,Small Residential Projects,M4L,0,Closed, ,DIXON,37,AVE,SFD - Detached,Solar Water Heater,,,Solar Domestic Hot Water (Res),"37 DIXON AVE   Toronto, Canada","37, Dixon Avenue, The Beaches, Beaches—East York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4M 1H7, Canada",43.6696023,-79.3096654
7524,2011-06-03,2012-01-03,Permit for installation of 2 solar collector (certified model number 09-148268-02 PG) on roof of existing dwelling for solar hot water heating system. Refer to related plumbing application for connection to potable water heating system.,2011-06-03,11 209828,Small Residential Projects,M6G,0,Closed, ,YARMOUTH,141,RD,Converted House,Solar Water Heater,,,Solar Domestic Hot Water (Res),"141 YARMOUTH RD   Toronto, Canada","141, Yarmouth Road, Christie Pits, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6G 3N1, Canada",43.66919352,-79.42440544
7525,2011-08-09,,Install solar electrical panels on roof,2011-09-06,11 253699,Small Residential Projects,M1B,0,Inspection, ,MORNINGVIEW,186,TRL,SFD - Detached,Solar Water Heater,,,Solar Domestic Hot Water (Res),"186 MORNINGVIEW TRL   Toronto, Canada","186, Morningview Trail, Scarborough—Rouge Park, Scarborough, Toronto, Golden Horseshoe, Ontario, M1B 5B5, Canada",43.81786925,-79.19992924
7526,2011-08-11,2013-03-18,Rooftop solar panels for electricity,2011-08-26,11 255357,Small Residential Projects,M1W,0,Closed, ,FLUELLEN,19,DR,SFD - Detached,Solar Water Heater,,,Solar Domestic Hot Water (Res),"19 FLUELLEN DR   Toronto, Canada","19, Fluellen Drive, L'Amoreaux, Scarborough—Agincourt, Scarborough, Toronto, Golden Horseshoe, Ontario, M1W 2A3, Canada",43.79035808,-79.30588927
7527,2011-08-26,2011-09-13,Permit for installation of 1 solar collector (certified model number 09-148271-01-CE) on roof of existing dwelling for solar hot water heating system. Refer to related plumbing application for connection to potable water heating system.,2011-08-29,11 264148,Small Residential Projects,M4J,0,Closed, ,MILVERTON,255,BLVD,SFD - Semi-Detached,Solar Water Heater,,,Solar Domestic Hot Water (Res),"255 MILVERTON BLVD   Toronto, Canada","255, Milverton Boulevard, Toronto—Danforth, Beaches—East York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4C 3C9, Canada",43.68510423,-79.33146679
7528,2011-08-26,2011-09-13,Permit for installation of 1 solar collector (certified model number 09-148271-01-CE) on roof of existing dwelling for solar hot water heating system. Refer to related plumbing application for connection to potable water heating system.,2011-08-29,11 264155,Small Residential Projects,M4J,0,Closed, ,MILVERTON,245,BLVD,SFD - Semi-Detached,Solar Water Heater,,,Solar Domestic Hot Water (Res),"245 MILVERTON BLVD   Toronto, Canada","245, Milverton Boulevard, Toronto—Danforth, Beaches—East York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4C 3C9, Canada",43.68500507,-79.33192252
7529,2011-09-16,2012-05-04,Installation of certified solar domestic hot water system.,2011-09-16,11 276164,Small Residential Projects,M4L,0,Closed, ,HIAWATHA,29,RD,SFD - Detached,Solar Water Heater,,,Solar Domestic Hot Water (Res),"29 HIAWATHA RD   Toronto, Canada","29, Hiawatha Road, Gerrard India Bazaar, East York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4L 2Y1, Canada",43.66908548,-79.32155115
7530,2011-09-27,2013-03-01,install solar hot water system on roof,2011-11-02,11 282285,Small Residential Projects,M1R,0,Closed, ,JOANNA,29,DR,SFD - Detached,Solar Water Heater,,,Solar Domestic Hot Water (Res),"29 JOANNA DR   Toronto, Canada","29, Joanna Drive, Maryvale, Scarborough Centre, Scarborough, Toronto, Golden Horseshoe, Ontario, M1R 4R7, Canada",43.76193428,-79.31313145
7531,2011-10-31,2011-11-17,solar rooftop panels,2011-11-10,11 302088,Small Residential Projects,M1C,0,Closed, ,RIDGEWOOD,152,RD,SFD - Detached,Solar Water Heater,,,Solar Domestic Hot Water (Res),"152 RIDGEWOOD RD   Toronto, Canada","152, Ridgewood Road, West Rouge, Scarborough—Rouge Park, Scarborough, Toronto, Golden Horseshoe, Ontario, M1C 2W5, Canada",43.78704977,-79.12870665
7532,2011-12-15,2015-11-17,Roof top solar panels for electrical,2012-04-03,11 326620,Small Residential Projects,M1C,0,Cancelled, ,ROUGE HIGHLANDS,371,DR,SFD - Detached,Solar Water Heater,,,Solar Domestic Hot Water (Res),"371 ROUGE HIGHLANDS DR   Toronto, Canada","371, Rouge Highlands Drive, Rouge Hill, Scarborough—Rouge Park, Scarborough, Toronto, Golden Horseshoe, Ontario, M1C 2W5, Canada",43.7933479,-79.1389687
7533,2012-04-05,2014-10-30,"PV Solar panels installed, on the south side on the existing roof",2012-05-11,12 149889,Small Residential Projects,M1M,0,Closed,E,REDLAND,9,CRES,SFD - Detached,Solar Water Heater,,,Solar Domestic Hot Water (Res),"9 REDLAND CRES E Toronto, Canada","9, Redland Crescent East, Cliffcrest, Scarborough Southwest, Scarborough, Toronto, Golden Horseshoe, Ontario, M1M 2K8, Canada",43.7113087,-79.2348367
7534,2012-06-19,2019-10-01,Install one solar domestic hot water system for semi detched single family dwelling.,2012-09-26,12 196161,Small Residential Projects,M4N,0,Cancelled, ,BOWOOD,63,AVE,SFD - Semi-Detached,Solar Water Heater,,,Solar Domestic Hot Water (Res),"63 BOWOOD AVE   Toronto, Canada","63, Bowood Avenue, Lawrence Park, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4N 2L2, Canada",43.72888653,-79.40114687
7535,2012-10-15,2015-02-09,solar panels for electricity,2012-11-16,12 262691,Small Residential Projects,M1M,0,Closed,S,BELLAMY,52,RD,SFD - Detached,Solar Water Heater,,,Solar Domestic Hot Water (Res),"52 BELLAMY RD S Toronto, Canada","52, Bellamy Road South, Cliffcrest, Scarborough Southwest, Scarborough, Toronto, Golden Horseshoe, Ontario, M1M 3N8, Canada",43.73644785,-79.22662025
